ticker,name,sector,sector_etf,market_cap,date,close,daily_return,return_5d,return_20d,rs_spy_20d,rs_spy_50d,rs_spy_near_high,rs_qqq_20d,rs_qqq_50d,rs_sector_20d,rs_sector_50d,close_to_50d_high,volume_ratio,volume_trend,updown_vol_ratio_20d,capped_volume_ratio,avg_dollar_volume_20d,close_position,ma20,ma60,ma120,above_ma20,above_ma60,ma60_rising,ma120_rising,ma_aligned,golden_cross_recent,vp_signal,accumulation_days_10d,distribution_days_10d,volume_strength,surge_today,sustained_accumulation,signal_type,triggered_today,days_since_trigger,warnings,atr_ratio,rsi_14,liquidity_ok,rs_positive,rs_sector_positive,near_50d_high,volume_quality,not_overheated,passed_hard_filters,grade,market_state,trigger_price,ext_from_trigger,base_stability,sector_etf_to_52w_high,mom_12_1,mom_6_1,score_3m,score,next_earnings_date,earnings_within_20d,verdict,verdict_reason,regime_trend,regime_breadth,regime_vix_ratio
MRNA,"Moderna, Inc.",Health Care,XLV,21751822336.0,2026-08-24,138.88999938964844,-0.042995971082634865,1.1546695836535426,1.4966743973200156,1.4169479064974815,1.6967765168308722,False,1.4111330700666413,1.8376087562239278,1.3351836772181702,1.4570252759285727,0.7964789282061657,1.2410118367869245,3.3283190078486666,1.9639969508009263,1.2410118367869245,3516362246.4649467,0.5739184142685881,76.73050079345703,65.78941688537597,58.3749584197998,True,True,True,True,True,True,distribution,4,3,normal,False,False,surge,False,1.0,"과열,분산3일",0.12227714862805794,68.82090494360881,True,True,True,False,False,False,True,A,Confirmed Uptrend,145.13,-0.043,0.04334203931021757,0.9944216998611353,0.7542216516933162,-0.012351877434529035,0.7815213590518985,1.0181576144834932,2026-11-05,False,진입 검토,국면 정합 A등급 · surge D+1 · 클러스터 대표(3종목 중),1,0.608,0.854
HMY,Harmony Gold Mining Company Lim,Materials,XLB,9944315904.0,2026-08-24,22.809999465942383,-0.031011105403289996,0.13879174657993731,0.43730306429922283,0.39140555772485475,0.44544579223122494,False,0.38805803182022847,0.5209304927878784,0.37855545115465583,0.42827579425508944,0.96898889459671,1.4321359083929184,1.261025190657962,2.139167822602498,1.4321359083929184,58389170.83852301,0.24463486990746502,18.944000053405762,16.83516672452291,16.593244870503742,True,True,True,False,True,False,distribution,3,2,normal,False,False,surge,False,1.0,어닝스20일내,0.04589151755204562,71.996946753176,True,True,True,True,False,True,True,A,Confirmed Uptrend,23.54,-0.031,0.32451342871453764,1.0,-0.13514543066899176,-0.3190342478201671,0.2206611880883634,1.0168796592119276,2026-08-27,True,스킵,상관 클러스터 중복 — 대표: AEM·WPM,1,0.608,0.854
B,Barrick Mining Corporation,Materials,XLB,61689446400.0,2026-08-24,48.15999984741211,0.011764735110138203,0.13264344611780543,0.2883894722114415,0.24724723454425712,0.18717703152501564,True,0.24424653327212953,0.24917430822265807,0.23572847943055297,0.173074927289661,1.0,1.1356606212067846,1.1028940998121832,1.7940644395960752,1.1356606212067846,490570583.1375246,0.6822427574208361,41.28349990844727,39.31783339182536,40.396251392364505,True,True,True,False,False,False,accumulation,5,2,normal,False,False,surge,False,3.0,,0.03865094461905277,74.08910300064503,True,True,True,True,False,True,True,A,Confirmed Uptrend,45.13,0.0671,0.29992181987882904,1.0,0.26476602959148443,-0.29863897659872696,0.4959279697937845,1.0092119275825346,2026-11-09,False,스킵,상관 클러스터 중복 — 대표: AEM·WPM,1,0.608,0.854
ILMN,"Illumina, Inc.",Health Care,XLV,31031631872.0,2026-08-24,223.22000122070312,0.01741115510705571,0.15574195881801822,0.17812846246138192,0.14050719788999144,0.2944392953623316,True,0.13776329812032828,0.36203806878181943,0.10192436713377573,0.17935989393661855,1.0,1.0624456797182684,1.0139122257917843,1.9769484472311651,1.0624456797182684,425682911.27925414,0.9353448616054868,199.2034996032715,184.5326655069987,157.8842492421468,True,True,True,True,True,False,accumulation,3,0,normal,False,False,surge,False,2.0,,0.04078294987407647,71.34701027786555,True,True,True,True,True,True,True,A,Confirmed Uptrend,213.24,0.0468,0.2907670784153158,0.9944216998611353,0.6628704395495018,0.47910661827368317,0.9410227059165228,1.008785942492013,2026-10-30,False,진입 검토,국면 정합 A등급 · surge D+2,1,0.608,0.854
DXCM,"DexCom, Inc.",Health Care,XLV,32201099264.0,2026-08-24,91.05999755859375,-0.01386180236149348,0.025912521034341607,0.2411066396319006,0.20147428820449287,0.166344590097383,True,0.19858371019783094,0.22725394595324766,0.16082896899431987,0.06265317886982502,0.9861381976385065,0.775491808260292,0.875751008405979,2.808157075889209,0.775491808260292,493222251.2898636,0.019230016823819397,86.18649978637696,77.37233352661133,70.91358331044515,True,True,True,True,True,False,dry_up,2,0,normal,False,False,surge,False,3.0,,0.028207467351188863,65.99451544848678,True,True,True,True,False,True,True,A,Confirmed Uptrend,89.88,0.0131,0.32424123969572133,0.9944216998611353,-0.24513913803058196,-0.10296470077702657,0.2554632587859425,1.0019701810436636,2026-10-30,False,진입 검토,국면 정합 A등급 · surge D+3,1,0.608,0.854
ONC,BeOne Medicines Ltd.,Health Care,XLV,32786421760.0,2026-08-24,371.9800109863281,-0.006649371715379271,0.02612341994866796,0.14139312044442742,0.10494492830543778,0.3775306111160073,True,0.10228658635031729,0.44946861546496675,0.06756515267349172,0.25506415112766634,0.9870509617499401,0.8805601447565101,0.9604153882464007,1.9125079050840001,0.8805601447565101,139042277.9720688,0.9017803617051238,347.15399780273435,309.1853317260742,304.6894157409668,True,True,True,True,True,False,dry_up,3,0,normal,False,False,acc,False,4.0,,0.02831353063085814,68.77533945190734,True,True,True,True,True,True,True,A,Confirmed Uptrend,369.15,0.0077,0.2766742774853394,0.9944216998611353,-0.1170075837954413,-0.19228236146714495,0.2867490161908504,0.9979765708200212,2026-11-05,False,스킵,acc D+4 신호 소멸 — 재트리거 전까지 관망,1,0.608,0.854
P,"Everpure, Inc.",Information Technology,XLK,25651687424.0,2026-08-24,100.44000244140625,-0.07471211775539632,-0.14146504594038145,0.35345645708843354,0.31023643051204486,0.3961389695447366,False,0.3070841861013669,0.469048747703128,0.3102330497218624,0.472181685231422,0.8500338467204581,1.122014488328086,0.9730627839583962,1.6320627179709648,1.122014488328086,318988223.13194734,0.03359459947023863,96.9435001373291,82.10350011189779,75.60475006103516,True,True,True,True,True,False,distribution,5,3,normal,False,False,acc,False,1.0,"분산3일,어닝스20일내",0.06052226388094447,55.080865639403996,True,True,True,False,False,True,True,A,Confirmed Uptrend,108.55,-0.0747,0.28704451543461235,0.9094630889501736,0.13809265767433399,0.0007449049592387347,0.6402792822037324,0.9898828541001065,2026-08-27,True,대기,어닝스 2026-08-27 — 발표 후 재평가,1,0.608,0.854
FCX,"Freeport-McMoRan, Inc.",Materials,XLB,90034372608.0,2026-08-24,77.80000305175781,0.014870849663315422,0.13775966915337934,0.24043369798400072,0.20082283565271708,0.1330856879145761,True,0.1979338249491902,0.19225818287561802,0.1897328257527302,0.11962611781319588,1.0,1.5117712831794803,1.3422630700633476,1.8320765054200039,1.5117712831794803,966467090.3309448,0.609941252975928,67.86100063323974,65.0858024597168,63.17346108754476,True,True,True,True,True,False,accumulation,4,0,interest,True,False,surge,True,0.0,,0.036153865464948816,70.63004251740868,True,True,True,True,True,True,True,A,Confirmed Uptrend,77.8,0.0,0.3111455882077811,1.0,0.2901333282744831,-0.1186727061558257,0.6056765360805955,0.9817891373801918,2026-10-22,False,스킵,상관 클러스터 중복 — 대표: AEM·WPM,1,0.608,0.854
MRK,"Merck & Company, Inc.",Health Care,XLV,321571160064.0,2026-08-24,150.66000366210938,-0.012389376282130882,0.10803855489831027,0.15218728962422134,0.11539440647106769,0.21113498224186222,True,0.11271092454244691,0.2743834014904962,0.07766112982807916,0.10346157546142143,0.9876106237178691,1.3709647877612352,1.6516167247255358,1.9394519403008206,1.3709647877612352,1513759940.313617,0.6386559470687798,135.22049980163575,126.74374249776204,120.92766272226969,True,True,True,True,True,False,distribution,5,3,normal,False,False,surge,False,1.0,분산3일,0.029678927809878113,73.68198698775566,True,True,True,True,False,True,True,A,Confirmed Uptrend,152.55,-0.0124,0.1974009152410258,0.9944216998611353,0.33857806731809537,-0.013364305862377357,0.7179974144755201,0.9767305644302451,2026-10-29,False,진입 검토,국면 정합 A등급 · surge D+1,1,0.608,0.854
SCCO,Southern Copper Corporation,Materials,XLB,143250571264.0,2026-08-24,214.25,-0.00810185185185186,0.11565302796472743,0.1949913995371384,0.15658116231392571,0.21037116754355578,True,0.15761826578175753,0.2529085145191152,0.1432485076739416,0.17785145447488082,0.9918981481481481,0.9358549284039702,1.1344991225980112,1.422740932853055,0.9358549284039702,210788612.65760803,0.290603206914443,191.6117286682129,184.4455207824707,180.96048227945963,True,True,True,False,True,False,dry_up,4,0,normal,False,False,surge,False,1.0,,0.04219704545484143,65.70888356282182,True,True,True,True,True,True,True,A,Confirmed Uptrend,216.0,-0.0081,0.3301511110466211,1.0,0.7344026092523674,-0.14499349271515594,0.6660739323321545,0.969062832800852,2026-10-28,False,스킵,상관 클러스터 중복 — 대표: AEM·WPM,1,0.608,0.854
